Title,Type,Num Bids,Current Bid,Buy Price,End Date,Link
Nvidia Quadro 4000,auction,0,50.0,,2020-11-22 13:16:00,https://www.ricardo.ch/de/a/nvidia-quadro-4000-1142928164/
Nvidia Quadro 4000,auction,0,50.0,,2020-11-22 13:24:00,https://www.ricardo.ch/de/a/nvidia-quadro-4000-1142928480/
Grafikkarte Asus Geforce GTX 1050 Ti,auction,0,90.0,,2020-11-23 15:52:00,https://www.ricardo.ch/de/a/grafikkarte-asus-geforce-gtx-1050-ti-1145281548/
AMD FirePro W7100 8 GB,hybrid,0,140.0,220.0,2020-11-20 22:30:00,https://www.ricardo.ch/de/a/amd-firepro-w7100-8-gb-1143187432/
Gainward GTX1060 3GB GDDR5,hybrid,0,99.0,219.0,2020-11-20 21:53:00,https://www.ricardo.ch/de/a/gainward-gtx1060-3gb-gddr5-1143519006/
ASUS RX 5700 XT ROG Strix O8G Gaming,direct,,,379.0,2020-11-23 18:14:00,https://www.ricardo.ch/de/a/asus-rx-5700-xt-rog-strix-o8g-gaming-1141047002/
nVidia Quadro NVS 310,auction,0,15.0,,2020-11-23 00:40:00,https://www.ricardo.ch/de/a/nvidia-quadro-nvs-310-1140977940/
AMD RADEON RX VEGA 56 8GB Sapphire,direct,,,265.0,2020-11-24 22:56:00,https://www.ricardo.ch/de/a/amd-radeon-rx-vega-56-8gb-sapphire-1141273924/
Geforce GTX 1080 TI MSI Aero OC 11GB,auction,0,305.0,,2020-11-19 19:15:00,https://www.ricardo.ch/de/a/geforce-gtx-1080-ti-msi-aero-oc-11gb-1144620738/
Asus STRIX-GTX960 Gaming Grafikkarte,hybrid,0,59.0,89.0,2020-11-27 20:37:00,https://www.ricardo.ch/de/a/asus-strix-gtx960-gaming-grafikkarte-1145597650/
XFX RX 580 8GB,hybrid,0,149.5,149.9,2020-11-19 21:29:00,https://www.ricardo.ch/de/a/xfx-rx-580-8gb-1145395166/
kabel 4 Pin Molex zu 6 Pin PCI-Express P,direct,,,2.95,2020-11-22 21:56:00,https://www.ricardo.ch/de/a/kabel-4-pin-molex-zu-6-pin-pci-express-p-1143137090/
Pc Teil,auction,0,40.0,,2020-11-19 22:30:00,https://www.ricardo.ch/de/a/pc-teil-1144716736/
Gigabyte Geforce G1 Windforce GTX 980,hybrid,6,55.0,100.0,2020-11-22 12:19:00,https://www.ricardo.ch/de/a/gigabyte-geforce-g1-windforce-gtx-980-1145061350/
HIS IceQ Radeon X1600Pro Dual Link DVI,auction,0,29.0,,2020-11-22 13:53:00,https://www.ricardo.ch/de/a/his-iceq-radeon-x1600pro-dual-link-dvi-1142816972/
Nvidia NVS 310 - Dual DisplayPort,auction,0,18.0,,2020-11-19 14:12:00,https://www.ricardo.ch/de/a/nvidia-nvs-310-dual-displayport-1143338912/
NVIDIA 2080ti double système eau 2080ti,auction,52,851.0,,2020-11-21 17:59:00,https://www.ricardo.ch/de/a/nvidia-2080ti-double-systeme-eau-2080ti-1134784910/
SAMOS GTX 1080 Ti Waterblock,hybrid,0,75.0,125.0,2020-11-23 13:05:00,https://www.ricardo.ch/de/a/samos-gtx-1080-ti-waterblock-1144153684/
nVidia Quadro NVS 310 1GB,direct,,,22.9,2020-11-22 19:18:00,https://www.ricardo.ch/de/a/nvidia-quadro-nvs-310-1gb-1144672030/
3 x PCI Express Riser Karte,auction,,,,2020-11-18 19:42:30.759136,https://www.ricardo.ch/de/a/3-x-pci-express-riser-karte-1142923430/
Grafikkarte,auction,8,55.0,,2020-11-21 11:24:00,https://www.ricardo.ch/de/a/grafikkarte-1144912006/
ASUS GeForce GTX 1080 STRIX GAMING,auction,15,152.0,,2020-11-19 20:27:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-1080-strix-gaming-1144221952/
Grafikkarte MSI Radeon HD 4350 PCI-E 512,hybrid,0,12.0,18.0,2020-11-22 20:03:00,https://www.ricardo.ch/de/a/grafikkarte-msi-radeon-hd-4350-pci-e-512-1145148476/
Original Verpackt AMD Radeon RX 5700 XT,auction,0,424.0,,2020-11-22 19:39:00,https://www.ricardo.ch/de/a/original-verpackt-amd-radeon-rx-5700-xt-1140249316/
Matrox M9148 LP PCIe x16 (Low profile),hybrid,0,59.0,129.0,2020-11-21 14:00:00,https://www.ricardo.ch/de/a/matrox-m9148-lp-pcie-x16-(low-profile)-1141810212/
HP 454319–001 NVIDIA Quadro NVS 290,hybrid,0,15.0,25.0,2020-11-18 19:51:30.879814,https://www.ricardo.ch/de/a/hp-454319%E2%80%93001-nvidia-quadro-nvs-290-1144058088/
ASUS GeForce GTX 1080 STRIX GAMING,auction,103,148.0,,2020-11-19 20:27:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-1080-strix-gaming-1144221958/
ASUS GeForce GTX 1080 STRIX GAMING,auction,106,152.0,,2020-11-19 20:27:00,https://www.ricardo.ch/de/a/asus-geforce-gtx-1080-strix-gaming-1144221964/
NVIDIA GeForce RTX 3070 Founders Edition,hybrid,4,570.0,775.0,2020-11-26 15:28:00,https://www.ricardo.ch/de/a/nvidia-geforce-rtx-3070-founders-edition-1145251846/
NVIDIA NVS 295,auction,0,9.0,,2020-11-23 09:22:00,https://www.ricardo.ch/de/a/nvidia-nvs-295-1134788674/
ASUS GTX 970,auction,0,150.0,,2020-11-23 18:45:00,https://www.ricardo.ch/de/a/asus-gtx-970-1143332012/
NVIDIA Quadro NVS 290,auction,0,16.0,,2020-11-18 19:51:30.999494,https://www.ricardo.ch/de/a/nvidia-quadro-nvs-290-1144058092/
EVGA Pro SLI Bridge,direct,,,22.0,2020-11-19 22:52:00,https://www.ricardo.ch/de/a/evga-pro-sli-bridge-1134495300/
EVGA GTX 560 Nvidia 1Go GDDR5 PCI-Expr,hybrid,0,20.0,25.0,2020-11-19 20:00:00,https://www.ricardo.ch/de/a/evga-gtx-560-nvidia-1go-gddr5-pci-expr-1131758248/
"MSI RX 580 ARMOR OC (8GB, High End)",direct,,,99.0,2020-11-28 14:29:00,https://www.ricardo.ch/de/a/msi-rx-580-armor-oc-(8gb-high-end)-1058131018/
Asus GeForce TUF RTX 3080 Gaming - 10G,direct,,,1059.0,2020-11-25 17:28:00,https://www.ricardo.ch/de/a/asus-geforce-tuf-rtx-3080-gaming-10g-1145507766/
Sapphire Radeon RX 580 Nitro+ 4GB,auction,4,5.0,,2020-11-25 11:37:00,https://www.ricardo.ch/de/a/sapphire-radeon-rx-580-nitro-4gb-1145531756/
MSI Geforce GTX 1070 TI 8GB,hybrid,0,169.0,259.0,2020-11-22 19:29:00,https://www.ricardo.ch/de/a/msi-geforce-gtx-1070-ti-8gb-1145567748/
GIGABYTE GeForce GTX 1070 WINDFORCE 8GB,hybrid,0,149.0,220.0,2020-11-22 19:29:00,https://www.ricardo.ch/de/a/gigabyte-geforce-gtx-1070-windforce-8gb-1145567848/
Nvidia Quadro K4200,direct,,,125.0,2020-11-28 16:11:00,https://www.ricardo.ch/de/a/nvidia-quadro-k4200-1145570014/
Sapphire Nitro+ RX570 4GB,hybrid,0,50.0,70.0,2020-11-22 18:23:00,https://www.ricardo.ch/de/a/sapphire-nitro-rx570-4gb-1145588816/
Matrox M9120 Plus,hybrid,0,20.0,100.0,2020-11-25 13:08:00,https://www.ricardo.ch/de/a/matrox%C2%A0m9120-plus-1104855572/
GTX 1650 normal Profile Bracket,direct,,,5.0,2020-11-23 08:50:00,https://www.ricardo.ch/de/a/gtx-1650-normal-profile-bracket-1129854744/
ATI RADEON X1050,auction,0,9.9,,2020-11-24 13:16:00,https://www.ricardo.ch/de/a/ati-radeon-x1050-1143229954/
PCI-Express Grafikkarten-Stromkabel,direct,,,3.45,2020-11-21 11:22:00,https://www.ricardo.ch/de/a/pci-express-grafikkarten-stromkabel-1128782856/
